"Source","Affiliation","Institution","Country","DOI","ORCID","gleif","grid","psi","wikidata","isni"
"CrossRef","Key Laboratory for Plant Diversity and Biogeography of East Asia, Kunming Institute of Botany, Chinese Academy of Sciences, Kunming 650201, China","Key Laboratory for Plant Diversity and Biogeography of East Asia, Kunming Institute of Botany, Chinese Academy of Sciences","CN","10.1155/2015/610735",,"N/A","grid.458460.b",541594,"http://www.wikidata.org/entity/Q530471","000000041764155X"
"CrossRef","Section of Pancreatic Surgery, Department of General Surgery, Humanitas Research Hospital, University of Milan School of Medicine, Via Manzoni 56, Rozzano, 20089 Milan, Italy","Section of Pancreatic Surgery, Department of General Surgery, Humanitas Research Hospital, University of Milan School of Medicine","IT","10.1155/2014/641239",,"N/A","grid.4708.b",493861,"http://www.wikidata.org/entity/Q46210","0000000417572822"
"CrossRef","Graduate School of Engineering, Nagoya University","Graduate School of Engineering, Nagoya University",,"10.1585/pfr.11.1202005",,"N/A","grid.27476.30",452268,"http://www.wikidata.org/entity/Q1191132","000000010943978X"
"CrossRef","Erasmus University,  The Netherlands","Erasmus University","NL","10.1590/s0034-759020160405",,"N/A","grid.6906.9",487993,"http://www.wikidata.org/entity/Q633529","0000000092621349"
"CrossRef","Duke University, Durham, NC","Duke University","US","10.1200/jco.2004.22.90140.758",,"FY5ICUIRRDCHN4HHL592","grid.26009.3d",435114,"http://www.wikidata.org/entity/Q168751","0000000419367961"
"CrossRef","Brad Zebrack, University of Michigan School of Social Work, Ann Arbor, MI; and Sineéad Isaacson, Tulane University School of Public Health and Tropical Medicine, New Orleans, LA.","University of Michigan School of Social Work","US","10.1200/jco.2011.39.5467",,"549300MFOB21PM9P9H72","grid.214458.e",434885,"N/A","N/A"
"ORCID","xi'dian university","xi'dian university","CN",,"http://orcid.org/0000-0001-7630-9299","N/A","grid.440736.2",545022,"http://www.wikidata.org/entity/Q649906","000000010707115X"
"ORCID","Universidad de Castilla-La Mancha","Universidad de Castilla-La Mancha","ES",,"http://orcid.org/0000-0001-9645-6325","N/A","grid.8048.4",606563,"http://www.wikidata.org/entity/Q941806","0000000121942329"
"ORCID","Sage Publications Inc","Sage Publications Inc","US",,"http://orcid.org/0000-0003-1580-7037","N/A","N/A",445921,"http://www.wikidata.org/entity/Q251266","0000000405025717"
"ORCID","University College Cork","University College Cork","IE",,"http://orcid.org/0000-0001-5880-4704","N/A","grid.7872.a",505445,"http://www.wikidata.org/entity/Q1574185","0000000123318773"
"ORCID","Fondazione ISI - Istituto per l'lnterscambio Scientifico","Fondazione ISI - Istituto per l'lnterscambio Scientifico","IT",,"http://orcid.org/0000-0002-0821-7541","N/A","grid.418750.f",493881,"http://www.wikidata.org/entity/Q1650851","0000000417593658"
"ORCID","Mongolian Academy of Sciences, Institute of Geoecology","Mongolian Academy of Sciences, Institute of Geoecology","MN",,"http://orcid.org/0000-0003-1658-1148","N/A","grid.425564.4",647703,"N/A","0000000405873863"
"ORCID","Swedish University of Agricultural Sciences","Swedish University of Agricultural Sciences","SE",,"http://orcid.org/0000-0003-2735-7088","N/A","grid.6341.0",491500,"http://www.wikidata.org/entity/Q1312762","0000000085782742"
"ORCID","Karolinska Institutet","Karolinska Institutet","SE",,"http://orcid.org/0000-0001-7391-1137","213800EENON7ZYGD2932","grid.4714.6",491775,"http://www.wikidata.org/entity/Q219564","0000000419370626"
"ORCID","Universidad Politécnica de Valencia","Universidad Politécnica de Valencia","ES",,"http://orcid.org/0000-0002-3934-4615","N/A","grid.157927.f",607011,"http://www.wikidata.org/entity/Q2003976","0000000417705832"
"ORCID","Uppsala Universitet Medicinska fakulteten","Uppsala Universitet Medicinska fakulteten","SE",,"http://orcid.org/0000-0002-1933-9405","N/A","grid.8993.b",491242,"http://www.wikidata.org/entity/Q185246","0000000419369457"
"ORCID","Miami University","Miami University","US",,"http://orcid.org/0000-0003-4783-5358","5493008ZSVWUNRYQE312","grid.259956.4",435733,"http://www.wikidata.org/entity/Q590643","0000000419368606"
"ORCID","Universidad de Burgos","Universidad de Burgos","ES",,"http://orcid.org/0000-0001-5857-9404","N/A","grid.23520.36",606559,"http://www.wikidata.org/entity/Q1510657","0000000085691592"
"ORCID","Case Western Reserve University","Case Western Reserve University","US",,"http://orcid.org/0000-0001-5588-4614","2YXI7YIWYFWZG3QHF204","grid.67105.35",435451,"http://www.wikidata.org/entity/Q1047060","0000000419367865"
"ORCID","Universidad Autonoma de San Luis Potosi","Universidad Autonoma de San Luis Potosi","MX",,"http://orcid.org/0000-0003-4213-4552","N/A","grid.412862.b",512570,"http://www.wikidata.org/entity/Q7894242","000000012191239X"
"ORCID","Pontificia Universidad Javeriana","Pontificia Universidad Javeriana","CO",,"http://orcid.org/0000-0002-5981-5541","54930015KPR2VB6UOH58","grid.41312.35",506873,"http://www.wikidata.org/entity/Q1517478","0000000110336040"
"ORCID","De La Salle University Damariñas ","De La Salle University Damariñas","PH",,"http://orcid.org/0000-0002-1483-1230","N/A","grid.464511.3",474814,"http://www.wikidata.org/entity/Q5244550","0000000417566465"
"ORCID","GlucoSentient, Inc.","GlucoSentient, Inc.","US",,"http://orcid.org/0000-0001-8561-2097","N/A","N/A","N/A","N/A","N/A"
"ORCID","Makerere University","Makerere University","UG",,"http://orcid.org/0000-0003-3147-6266","N/A","grid.11194.3c",650769,"http://www.wikidata.org/entity/Q261506","0000000406200548"
"ORCID","Institute of Physics of Materials, Academy of Sciences of the Czech Republic","Institute of Physics of Materials, Academy of Sciences of the Czech Republic","CZ",,"http://orcid.org/0000-0002-1570-2705","N/A","grid.418095.1",507120,"http://www.wikidata.org/entity/Q374686","0000000110153316"
"ORCID","University of Potsdam","University of Potsdam","DE",,"http://orcid.org/0000-0002-6289-6987","N/A","grid.11348.3f",470794,"http://www.wikidata.org/entity/Q153012","0000000109421117"
"ORCID","University of Cambridge","University of Cambridge","GB",,"http://orcid.org/0000-0002-6188-9363","549300BHKNQHVK7MQW57","grid.5335.0",590489,"http://www.wikidata.org/entity/Q35794","0000000121885934"
"ORCID","Institute of Immunology and Physiology, Ural Branch of the Russian Academy of Sciences","Institute of Immunology and Physiology, Ural Branch of the Russian Academy of Sciences","RU",,"http://orcid.org/0000-0001-9788-1243","N/A","grid.473278.d",570081,"N/A","0000000403973094"
"ORCID","Bariatric Medicine Institute","Bariatric Medicine Institute","US",,"http://orcid.org/0000-0002-9002-7463","N/A","N/A","N/A","N/A","N/A"
"ORCID","Guilford County Schools","Guilford County Schools","US",,"http://orcid.org/0000-0002-2785-7974","N/A","grid.428943.0","N/A","http://www.wikidata.org/entity/Q5615918","N/A"
"ORCID","University of Vigo","University of Vigo","ES",,"http://orcid.org/0000-0002-0111-2413","N/A","grid.6312.6",606580,"http://www.wikidata.org/entity/Q666916","0000000120976738"
"ORCID","Macquarie University","Macquarie University","AU",,"http://orcid.org/0000-0001-6233-2148","N/A","grid.1004.5",634916,"http://www.wikidata.org/entity/Q741082","0000000121585405"
"ORCID","Cleveland Clinic","Cleveland Clinic","US",,"http://orcid.org/0000-0001-8342-4252","5493005LGDPOFHUC6Z36","grid.239578.2",435385,"N/A","0000000106754725"
"ORCID","Eastern Mediterranean University","Eastern Mediterranean University","TR",,"http://orcid.org/0000-0003-0030-1471","N/A","grid.461270.6",472645,"http://www.wikidata.org/entity/Q2035790","0000000405956570"
"ORCID","Ibra College of Technology","Ibra College of Technology","OM",,"http://orcid.org/0000-0002-2747-5562","N/A","N/A","N/A","N/A","0000000404083026"
"ORCID","University of Oxford","University of Oxford","GB",,"http://orcid.org/0000-0002-3558-5198","N/A","grid.4991.5",590529,"http://www.wikidata.org/entity/Q34433","0000000419368948"
"ORCID","Federal University Kashere","Federal University Kashere","NG",,"http://orcid.org/0000-0002-2864-8189","N/A","grid.459482.6","N/A","N/A","000000046023815X"
"ORCID","Instituto Tecnológico y de Estudios Superiores de Monterrey - Campus Ciudad de México","Instituto Tecnológico y de Estudios Superiores de Monterrey - Campus Ciudad de México","MX",,"http://orcid.org/0000-0002-8253-4828","N/A","grid.419886.a",512984,"http://www.wikidata.org/entity/Q1343885","0000000404836227"
"ORCID","Hong Kong Polytechnic University","Hong Kong Polytechnic University","HK",,"http://orcid.org/0000-0003-1714-779X","CBSM1YAON3H6OHZE0I79","grid.16890.36",505849,"http://www.wikidata.org/entity/Q1187271","0000000417646123"
"ORCID","Montana State University Bozeman","Montana State University Bozeman","US",,"http://orcid.org/0000-0003-1631-2001","549300EDOIFNXLYW4H08","grid.41891.35",448474,"http://www.wikidata.org/entity/Q1861687","0000000121566108"
"ORCID","Inter-University Accelerator Centre","Inter-University Accelerator Centre","IN",,"http://orcid.org/0000-0002-2615-5188","N/A","grid.440694.b",573308,"N/A","0000000417963049"
"ORCID","Universiti Brunei Darussalam","Universiti Brunei Darussalam","BN",,"http://orcid.org/0000-0002-8887-4794","N/A","grid.440600.6",419489,"N/A","0000000121701621"
"ORCID","King Saud University","King Saud University","SA",,"http://orcid.org/0000-0002-9038-4567","N/A","grid.56302.32",506034,"http://www.wikidata.org/entity/Q1752043","0000000417735396"
"ORCID","Academy of Scientific and Innovative Research","Academy of Scientific and Innovative Research","IN",,"http://orcid.org/0000-0003-0726-7878","N/A","grid.469887.c","N/A","http://www.wikidata.org/entity/Q14956968","N/A"
"ORCID","Faculty of Engineering, University of Porto","Faculty of Engineering, University of Porto","PT",,"http://orcid.org/0000-0002-7627-189X","N/A","grid.5808.5",485869,"http://www.wikidata.org/entity/Q1422903","0000000115037226"
"ORCID","Rutgers New Jersey Medical School","Rutgers New Jersey Medical School","US",,"http://orcid.org/0000-0002-6692-7322","N/A","grid.430387.b","N/A","http://www.wikidata.org/entity/Q499451","0000000089362606"
"ORCID","Swansea University","Swansea University","GB",,"http://orcid.org/0000-0002-3955-0144","N/A","grid.4827.9",590366,"http://www.wikidata.org/entity/Q1420500","0000000106588800"
"ORCID","St. Jude Children's Research Hospital","St. Jude Children's Research Hospital","US",,"http://orcid.org/0000-0002-9923-5218","N/A","grid.240871.8",434848,"http://www.wikidata.org/entity/Q1164246","000000010224711X"
"ORCID","University of Kentucky College of Agriculture Food and Environment","University of Kentucky College of Agriculture Food and Environment","US",,"http://orcid.org/0000-0002-9729-5524","549300CXE3YQ1HXYCQ71","grid.266539.d",434770,"http://www.wikidata.org/entity/Q1360303","0000000406153673"
"ORCID","Newcastle University","Newcastle University","GB",,"http://orcid.org/0000-0002-1786-8629","N/A","grid.1006.7",590181,"http://www.wikidata.org/entity/Q837164","0000000104627212"
"ORCID","Harvard Medical School","Harvard Medical School","US",,"http://orcid.org/0000-0001-8792-0464","N/A","grid.471403.5",448244,"http://www.wikidata.org/entity/Q49121","0000000403780882"
"ORCID","Universitat Autònoma de Barcelona","Universitat Autònoma de Barcelona","ES",,"http://orcid.org/0000-0001-7498-4864",9.59800201400058E+019,"grid.7080.f",606627,"http://www.wikidata.org/entity/Q43452","0000000120970205"
"ORCID","Jackson State University","Jackson State University","US",,"http://orcid.org/0000-0003-1899-0498","N/A","grid.257990.0",442169,"http://www.wikidata.org/entity/Q1747601","0000000106718898"
"ORCID","University of Geneva","University of Geneva","CH",,"http://orcid.org/0000-0002-1710-9550","N/A","grid.8591.5",499442,"http://www.wikidata.org/entity/Q503473","0000000123224988"
"ORCID","Universidad Pablo de Olavide","Universidad Pablo de Olavide","ES",,"http://orcid.org/0000-0002-5451-8521","N/A","grid.15449.3d",606506,"http://www.wikidata.org/entity/Q477988","0000000122002355"
"ORCID","University of Potsdam","University of Potsdam","DE",,"http://orcid.org/0000-0002-6289-6987","N/A","grid.11348.3f",470794,"http://www.wikidata.org/entity/Q153012","0000000109421117"
