Source,Affiliation,Institution,Country,DOI,ORCID,gleif,grid,psi,wikidata,isni
CrossRef,"Key Laboratory for Major Obstetric Diseases of Guangdong Province, The Third Affiliated Hospital of Guangzhou Medical University, Guangzhou 510150, China","Key Laboratory for Major Obstetric Diseases of Guangdong Province, The Third Affiliated Hospital of Guangzhou Medical University",CN,10.1155/2015/649080,,,,,,
CrossRef,Department of Biology; New Mexico State University; Las Cruces NM USA,Department of Biology; New Mexico State University;,US,10.1111/jeb.12939,,,,,,
CrossRef,Department of Oral Medicine; King's College London and Guy's & St. Thomas' NHS Foundation Trust; London UK,Department of Oral Medicine; King's College London and Guy's & St. Thomas' NHS Foundation Trust;,UK,10.1111/ors.12085,,,,,,
CrossRef,Universidade Federal do Paraná,Universidade Federal do ParanA?¡,,10.1590/s0104-44782000000200011,,,,,,
CrossRef,"Department of Neurology, University of Washington, Box 359775, 325 Ninth Avenue, Seattle, WA 98104, USA","Department of Neurology, University of Washington",US,10.1155/2014/257094,http://orcid.org/0000-0001-8178-8597,,,,,
CrossRef,UNESP,UNESP,,10.1590/s0102-09352012000500013,,,,,,
CrossRef,"FireSERT, School of Built Environment and Built Environment Research Institute; University of Ulster; Newtownabbey; BT37 0QB; UK","FireSERT, School of Built Environment and Built Environment Research Institute; University of Ulster;",UK,10.1002/fam.1114,,,,,,
CrossRef,School of Engineering and Materials Science; Queen Mary University of London; UK,School of Engineering and Materials Science; Queen Mary University of London;,UK,10.1002/term.2126,,,,,,
CrossRef,"Universidade Federal de Uberlândia,  Brazil",Universidade Federal de UberlA?¢ndia,BR,10.1590/0103-8478cr20160697,,,,,,
CrossRef,Toyohashi Univ. of Technology (Japan),Toyohashi Univ. of Technology,JP,10.1117/12.2270460,,,,,,
CrossRef,NOAA Pacific Marine Environmental Laboratory; Seattle Washington USA,NOAA Pacific Marine Environmental Laboratory; Seattle Washington,US,10.1002/2014gc005344,,,,,,
CrossRef,"Jiangsu Collaborative Innovation Center for Solid Organic Waste Utilization; College of Resources and Environmental Sciences; Nanjing Agricultural University; Tong Wei Road, No. 6 Nanjing Jiangsu Province 210095 China",Jiangsu Collaborative Innovation Center for Solid Organic Waste Utilization; College of Resources and Environmental Sciences; Nanjing Agricultural University;,CN,10.1111/ppa.12354,,,,,,
CrossRef,"Beihang University, Beijing, China",Beihang University,CN,10.1145/2983323.2983766,,,,,,
CrossRef,"From the Section of Neonatology, Department of Pediatrics, King Faisal Specialist Hospital and Research Centre, Riyadh","From the Section of Neonatology, Department of Pediatrics, King Faisal Specialist Hospital and Research Centre",,10.5144/0256-4947.1996.633,,,,,,
CrossRef,"Universidade de São Paulo,  Brazil",Universidade de SA?£o Paulo,BR,10.1590/s1516-44462009000100009,,,,,,
CrossRef,Los Alamos National Laboratory,Los Alamos National Laboratory,,10.2172/1088921,,,,,,
CrossRef,Queen's University; Canada,Queen's University;,CA,10.1002/9781118541555.wbiepc018,,,,,,
CrossRef,"Department of Medicine - MBC 46, King Faisai Specialist Hospital & Research Centre, P.O. Box 3354, Riyadh 11211","Department of Medicine - MBC 46, King Faisai Specialist Hospital & Research Centre",,10.5144/0256-4947.2004.396a,,,,,,
CrossRef,"Faculty of Engineering, Kharazmi University, Tehran, Iran (corresponding author: )","Faculty of Engineering, Kharazmi University",,10.1680/jgrim.15.00038,,,,,,
CrossRef,Stephen F. Austin State University; USA,Stephen F. Austin State University;,US,10.1002/9781118955567.wbieoc050,,,,,,
CrossRef,Department of Psychiatry; Washington University School of Medicine; St. Louis MO USA,Department of Psychiatry; Washington University School of Medicine;,US,10.1002/brb3.651,http://orcid.org/0000-0002-5835-8625,,,,,
CrossRef,University of Groningen,University of Groningen,,10.4204/eptcs.158.5,,,,,,
CrossRef,"Department of Internal Medicine, Chonnam National University Medical School, Gwangju, Korea.","Department of Internal Medicine, Chonnam National University Medical School",KR,10.3350/kjhep.2009.15.2.148,,,,,,
CrossRef,University of Virginia,University of Virginia,US,10.18130/v30c84,,,,,,
CrossRef,"Key Laboratory for Cell and Gene Engineering of Zhejiang Province, Institute of Genetics, College of Life Sciences; Zhejiang University; Hangzhou 310058 Zhejiang China","Key Laboratory for Cell and Gene Engineering of Zhejiang Province, Institute of Genetics, College of Life Sciences; Zhejiang University;",CN,10.1002/jsfa.7695,,,,,,
CrossRef,"The Ministry of Education (MOE) Key Laboratory for Standardization of Chinese Medicines, The State Administration of TCM (SATCM) Key Laboratory for New Resources and Quality Evaluation of Chinese Medicines, Shanghai Key Laboratory of Complex Prescription, Institute of Chinese Materia Medica, Shanghai University of Traditional Chinese Medicine, Shanghai, China","The Ministry of Education (MOE) Key Laboratory for Standardization of Chinese Medicines, The State Administration of TCM (SATCM) Key Laboratory for New Resources and Quality Evaluation of Chinese Medicines, Shanghai Key Laboratory of Complex Prescription, Institute of Chinese Materia Medica, Shanghai University of Traditional Chinese Medicine",CN,10.1055/s-0035-1557820,,,,,,
CrossRef,"Cancer Care Ontario, Toronto, ON, Canada",Cancer Care Ontario,CA,10.1200/jco.2016.34.7_suppl.277,,,,,,
CrossRef,University of Calgary,University of Calgary,,10.1558/rsth.v21i2.82,,,,,,
CrossRef,"Department of Mathematics, Savitribai Phule Pune University, Pune 411 007, India","Department of Mathematics, Savitribai Phule Pune University",IN,10.1155/2015/183930,http://orcid.org/0000-0001-8757-6827,,,,,
CrossRef,"Columbia University of New York, New York, NY",Columbia University of New York,US,10.1200/jco.2013.31.4_suppl.253,,,,,,
CrossRef,"Full-time Lecturer, College of Nursing, Sungshin Women's University, Korea.","Full-time Lecturer, College of Nursing, Sungshin Women's University",KR,10.4069/kjwhn.2011.17.3.195,,,,,,
CrossRef,"Optometry Clinic, Louis Stokes Cleveland Veterans Affairs Medical Centre; Cleveland Ohio USA","Optometry Clinic, Louis Stokes Cleveland Veterans Affairs Medical Centre;",US,10.1111/cxo.12537,,,,,,
CrossRef,"Department of Pediatrics, Ajou University School of Medicine, Suwon, Korea.","Department of Pediatrics, Ajou University School of Medicine",KR,10.4168/aard.2014.2.4.229,,,,,,
CrossRef,State Key Laboratory of Silicon Materials and Department of Materials Science and Engineering; Zhejiang University; Hangzhou 310027 China,State Key Laboratory of Silicon Materials and Department of Materials Science and Engineering; Zhejiang University;,CN,10.1002/ppsc.201470025,,,,,,
CrossRef,"The Edward Grey Institute, Department of Zoology, South Parks Road, Oxford, OX1 3PS, United Kingdom","The Edward Grey Institute, Department of Zoology",UK,10.7589/0090-3558-47.4.849,,,,,,
CrossRef,"Sandia National Lab. (SNL-CA), Livermore, CA (United States)",Sandia National Lab. (SNL-CA),US,10.2172/1113862,,,,,,
CrossRef,The University of Edinburgh,The University of Edinburgh,,10.1111/phc3.12316,,,,,,
CrossRef,"College of Electrical and Information Engineering, Nanjing University of Information Science & Technology, Nanjing 210044, China","College of Electrical and Information Engineering, Nanjing University of Information Science & Technology",CN,10.1155/2013/420648,http://orcid.org/0000-0002-5066-4716,,,,,
CrossRef,"Department of Chemistry, Gachsaran Branch, Islamic Azad University, Gachsaran, Iran","Department of Chemistry, Gachsaran Branch, Islamic Azad University",IR,10.1155/2011/287352,,,,,,
CrossRef,"Department of Internal Medicine, Chungnam National University School of Medicine, Daejeon, Korea","Department of Internal Medicine, Chungnam National University School of Medicine",KR,10.5009/gnl16049,,,,,,
CrossRef,"Dept. of Chemical Engineering, Center for Environmental Research and Sustainable Technology (UFT); University of Bremen; 28359 Bremen Germany","Dept. of Chemical Engineering, Center for Environmental Research and Sustainable Technology (UFT); University of Bremen;",DE,10.1002/aic.14711,,,,,,
CrossRef,New York University; New York NY USA,New York University;,US,10.1002/9781118445112.stat03718,,,,,,
CrossRef,Cooperative Institute for Research in Environmental Sciences; University of Colorado Boulder; Boulder Colorado USA,Cooperative Institute for Research in Environmental Sciences; University of Colorado Boulder;,US,10.1002/2014gl062444,,,,,,
CrossRef,The Wellcome Trust Centre for Cell-Matrix Research and Manchester Breast Centre; Faculty of Life Sciences; University of Manchester; Manchester United Kingdom,The Wellcome Trust Centre for Cell-Matrix Research and Manchester Breast Centre; Faculty of Life Sciences; University of Manchester;,UK,10.1002/jcp.25390,,,,,,
CrossRef,Pediatric Hematology and Oncology; University Children's Hospital Muenster; Muenster Germany,Pediatric Hematology and Oncology; University Children's Hospital Muenster;,DE,10.1111/ejh.12314,,,,,,
CrossRef,"Account planning head at nova/sb, an ad agency with large expertise in effective public service advertising.","Account planning head at nova/sb, an ad agency with large expertise in effective public service advertising.",,10.1111/1559-8918.2015.01069,,,,,,
CrossRef,Universidade Estadual de Campinas,Universidade Estadual de Campinas,,10.1590/s0102-44501999000100008,,,,,,
CrossRef,"College of Communication Engineering, PLA University of Science and Technology, Nanjing, China","College of Communication Engineering, PLA University of Science and Technology",CN,10.2495/smta141102,,,,,,
CrossRef,Center for Liver Cancer; National Cancer Center; Goyang Korea,Center for Liver Cancer; National Cancer Center;,KR,10.1111/liv.12519,,,,,,
CrossRef,"University of Maryland, College Park, MD",University of Maryland,US,10.1145/2818378,,,,,,
CrossRef,Rural Sociology,Rural Sociology,,10.18174/391066,,,,,,
CrossRef,"Oncology Medical Eugene Marquis Comprehensive Cancer Center, Rennes, France;",Oncology Medical Eugene Marquis Comprehensive Cancer Center,FR,10.1200/jco.2017.35.4_suppl.225,,,,,,
CrossRef,Corresponding author. Phone: (204)983-2385. Fax: (204)983-4606. Email: crampitsch@agr.gc.ca,Corresponding author.,,10.1094/cc-83-0510,,,,,,
CrossRef,University of Sussex (UK),University of Sussex,UK,10.1111/1469-8676.12137,,,,,,
CrossRef,"Department of Dermatology and Venereology, Medical University of Lodz, Plac Hallera 1, 90-497 Lodz, Poland","Department of Dermatology and Venereology, Medical University of Lodz",PL,10.1155/2014/936545,http://orcid.org/0000-0002-4548-3080,,,,,
CrossRef,"Department of Ophthalmology, University Medical Center, Johannes Gutenberg University Mainz, Mainz, Germany","Department of Ophthalmology, University Medical Center, Johannes Gutenberg University Mainz",DE,10.1167/iovs.13-13549,,,,,,
CrossRef,"Institute of Atmospheric Pollution Research, National Research Council of Italy; Monterotondo, Rome 00015 Italy","Institute of Atmospheric Pollution Research, National Research Council of Italy; Monterotondo",IT,10.1002/ep.12530,,,,,,
CrossRef,"Division of Cardiology, Yonsei Cardiovascular Hospital, Yonsei University College of Medicine, Seoul, Korea.","Division of Cardiology, Yonsei Cardiovascular Hospital, Yonsei University College of Medicine",KR,10.3904/kjm.2012.82.6.667,,,,,,
CrossRef,"Department of Neurosurgery, Tokyo Dental College Ichikawa General Hospital","Department of Neurosurgery, Tokyo Dental College Ichikawa General Hospital",,10.7887/jcns.13.151,,,,,,
CrossRef,Center for Nano Science and Technology @PoliMi; Istituto Italiano di Tecnologia; Via Pascoli 70/3 20133 Milano Italy,Center for Nano Science and Technology @PoliMi; Istituto Italiano di Tecnologia;,IT,10.1002/adfm.201302297,,,,,,
CrossRef,Wellesley College,Wellesley College,,10.1075/jnlh.1.1.02cha,,,,,,
CrossRef,"University of British Columbia Centre for Disease Control, Vancouver, British Columbia, Canada;",University of British Columbia Centre for Disease Control,CA,10.3201/eid1108.040449,,,,,,
CrossRef,Bremen,Bremen,,10.1055/s-0035-1564218,,,,,,
CrossRef,Universidad Católica Argentina,Universidad CatA?,AR,10.1590/s1413-294x2008000300006,,,,,,
CrossRef,"Institute of Physics, University of Tartu, Riia 142, 51014 Tartu, Estonia","Institute of Physics, University of Tartu",EE,10.12693/aphyspola.126.242,,,,,,
CrossRef,"Department of Cardiovascular Surgery, General Hospital of Shenyang Military, Shenyang, China","Department of Cardiovascular Surgery, General Hospital of Shenyang Military",CN,10.1155/2016/4967275,http://orcid.org/0000-0003-4897-5299,,,,,
CrossRef,Department of Psychiatry; Ludwig-Maximilians-Universität München; Munich; Germany,Department of Psychiatry; Ludwig-Maximilians-UniversitA?¤t MA?1?4nchen;,DE,10.1111/j.1469-8986.2011.01306.x,,,,,,
CrossRef,"Department of Pharmacology and Toxicology, College of Pharmacy, University of Arizona, 1703 E. Mabel Street, Tucson, AZ 85721-0207, USA","Department of Pharmacology and Toxicology, College of Pharmacy, University of Arizona",US,10.1155/2011/416905,,,,,,
CrossRef,"Department of Administrative Nutrition, Faculty of Health and Nutrition, Tokyo Seiei College","Department of Administrative Nutrition, Faculty of Health and Nutrition, Tokyo Seiei College",,10.2740/jisdh.27.40,,,,,,
CrossRef,"Vincent Papa, CFA, is director of financial reporting policy at CFA                     Institute.","Vincent Papa, CFA, is director of financial reporting policy at CFA Institute.",,10.2469/cfm.v25.n3.19,,,,,,
CrossRef,"Research Center for Nutrition and Food Safety, Institute of Military Preventive Medicine, Third Military Medical University, Shapingba District, Chongqing 400038, China","Research Center for Nutrition and Food Safety, Institute of Military Preventive Medicine, Third Military Medical University",CN,10.1155/2014/976438,,,,,,
CrossRef,"Chief executive, National Children's Bureau","Chief executive, National Children's Bureau",,10.12968/bjsn.2017.12.2.77,,,,,,
CrossRef,Department of Head and Neck Surgery; The University of Texas MD Anderson Cancer Center; Houston Texas,Department of Head and Neck Surgery; The University of Texas MD Anderson Cancer Center; Houston Texas,US,10.1002/hed.23327,,,,,,
CrossRef,"Span : Space Planners, Urbanists and Architects",Span : Space Planners,,10.3130/aija.65.147_4,,,,,,
CrossRef,Trinity College Dublin,Trinity College Dublin,,10.1111/jcms.12106_3,,,,,,
CrossRef,"Institute of Physics, Częstochowa University of Technology, al. Armii Krajowej 19, 42-200 Częstochowa, Poland","Institute of Physics, CzA?stochowa University of Technology",PL,10.12693/aphyspola.116.1053,,,,,,
CrossRef,"Universiti Teknologi Malaysia, Malaysia",Universiti Teknologi Malaysia,MY,10.4018/978-1-4666-1809-1.ch011,,,,,,
CrossRef,Department of Public Health and General Practice; Norwegian University of Science and Technology; Trondheim Norway,Department of Public Health and General Practice; Norwegian University of Science and Technology;,NO,10.1111/joim.12494,,,,,,
CrossRef,"NamesforLife, LLC","NamesforLife, LLC",,10.1601/ex.19665,http://orcid.org/0000-0002-7436-3176,,,,,
CrossRef,"Ariel University, Israel",Ariel University,IL,10.4018/978-1-5225-0516-7.ch001,,,,,,
CrossRef,University College London; Institute for Fiscal Studies; National Bureau of Economic Research,University College London; Institute for Fiscal Studies; National Bureau of Economic Research,,10.1111/ecoj.12020,,,,,,
CrossRef,"School of Liquor & Food Engineering, Guizhou University, Guiyang 550025, China","School of Liquor & Food Engineering, Guizhou University",CN,10.1155/2015/216983,,,,,,
CrossRef,"Universidade de São Paulo,  Brasil; Universidade de São Paulo,  Brasil","Universidade de SA?£o Paulo, Brasil; Universidade de SA?£o Paulo",BR,10.1590/s0102-33062010000100030,,,,,,
CrossRef,"University of South Australia, Australia",University of South Australia,AU,10.4018/978-1-59904-857-4.ch032,,,,,,
CrossRef,"The Frost Entomological Museum, Department of Entomology, The Pennsylvania State University, University Park, Pennsylvania 16802, USA","The Frost Entomological Museum, Department of Entomology, The Pennsylvania State University",US,10.7589/0090-3558-13.4.427,,,,,,
CrossRef,"School of Materials Science and Engineering, Shanghai Jiao Tong University","School of Materials Science and Engineering, Shanghai Jiao Tong University",,10.2320/matertrans.mra2007157,,,,,,
CrossRef,I-BioStat; Universiteit Hasselt; B-3590 Diepenbeek; Belgium,I-BioStat; Universiteit Hasselt;,BE,10.1002/pst.1533,,,,,,
CrossRef,"Department of Diagnostic Radiology, Fukuoka University School of Medicine","Department of Diagnostic Radiology, Fukuoka University School of Medicine",,10.7887/jcns.13.454,,,,,,
CrossRef,"Spinal Cord Injury Center Balgrist; University Hospital Zurich, University of Zurich; Zurich Switzerland","Spinal Cord Injury Center Balgrist; University Hospital Zurich, University of Zurich;",CH,10.1002/ana.24508,,,,,,
CrossRef,Beijing National Laboratory for Molecular Sciences (BNLMS); Key Laboratory of Green Printing; Institute of Chemistry; Chinese Academy of Sciences; Beijing 100190 P. R. China,Beijing National Laboratory for Molecular Sciences (BNLMS); Key Laboratory of Green Printing; Institute of Chemistry; Chinese Academy of Sciences;,CN,10.1002/adma.201602869,,,,,,
CrossRef,"Massachusetts Institute of Technology, Cambridge, MA, USA",Massachusetts Institute of Technology,US,10.1145/2933057.2933109,,,,,,
CrossRef,"Albert-Ludwig University, Germany",Albert-Ludwig University,DE,10.4018/978-1-61520-967-5.ch041,,,,,,
CrossRef,School of Journalism & Communication; University of Queensland,School of Journalism & Communication; University of Queensland,,10.1002/tl.20097,,,,,,
CrossRef,"Centre for Lipid Research, Indian Institute of Chemical Technology","Centre for Lipid Research, Indian Institute of Chemical Technology",,10.5650/jos.ess15255,,,,,,
CrossRef,These authors contributed equally to this study.,These authors contributed equally to this study.,,10.3201/eid1606.100089,,,,,,
CrossRef,"School of Public Health, University at Albany, State University of New York; USA","School of Public Health, University at Albany, State University of New York;",US,10.1002/erv.2417,,,,,,
CrossRef,"Department of Physics, University of Wisconsin, Madison, Wisconsin 53706; email:","Department of Physics, University of Wisconsin",US,10.1146/annurev-nucl-102010-130237,,,,,,
CrossRef,"VALE S/A,  Brazil",VALE S/A,BR,10.1590/2238-1031.jtl.v10n1a6,,,,,,
CrossRef,"Institute of Industrial Science,The University of Tokyo","Institute of Industrial Science,The University of Tokyo",,10.2355/tetsutohagane1955.79.3_280,,,,,,
