Source,Affiliation,Institution,Country,DOI,ORCID,gleif,grid,psi,wikidata,isni
CrossRef,"Department of Surgery, College of Medicine, Chung-Ang University, Seoul, Korea.",,,10.5230/jkgca.2008.8.4.182,,,,,,
CrossRef,"Unidad de Investigación Médica en Farmacología, Hospital de Especialidades, Centro Médico Nacional Siglo XXI, 06725 Ciudad de México, Mexico",,,10.1155/2016/8423192,,,,,,
CrossRef,Department of Chemistry; Biochemistry Division; Hacettepe University; 06800 Ankara Turkey,,,10.1002/adhm.201600098,,,,,,
CrossRef,"Department of Microbiology; Gifu University School of Medicine; Gifu, Gifu 500",,,10.1111/j.1348-0421.1987.tb03063.x,,,,,,
CrossRef,"Univ. of California, Santa Barbara (United States)",,,10.1117/12.2263411,,,,,,
CrossRef,"NamesforLife, LLC",,,10.1601/tx.6914,http://orcid.org/0000-0002-7436-3176,,,,,
CrossRef,Department of Geoscience; University of Oslo; Oslo Norway,,,10.1029/2004wr003115,,,,,,
CrossRef,Ministério das Relações Exteriores,,,10.1590/s0034-73292005000100009,,,,,,
CrossRef,Department of Orthodontics; The Affiliated Hospital of Medical College; Qingdao University; Qingdao; Shandong Province; China,,,10.1111/ocr.12010,,,,,,
CrossRef,"International Livestock Research Institute, Kenya",,,10.4018/978-1-4666-8611-3.ch006,,,,,,
CrossRef,Department of Electrometallurgy of Steel and Ferroalloys; Moscow Steel and Alloys Institute; Russia,,,10.1002/srin.199401188,,,,,,
CrossRef,"Universitätsklinikum Aachen, Klinik für Diagnostische und Interventionelle Radiologie, Aachen",,,10.1055/s-0037-1600377,,,,,,
CrossRef,"Key Laboratory for Major Obstetric Diseases of Guangdong Province, The Third Affiliated Hospital of Guangzhou Medical University, Guangzhou 510150, China",,,10.1155/2015/649080,,,,,,
CrossRef,Department of Biology; New Mexico State University; Las Cruces NM USA,,,10.1111/jeb.12939,,,,,,
CrossRef,Department of Oral Medicine; King's College London and Guy's & St. Thomas' NHS Foundation Trust; London UK,,,10.1111/ors.12085,,,,,,
CrossRef,Universidade Federal do Paraná,,,10.1590/s0104-44782000000200011,,,,,,
CrossRef,"Department of Neurology, University of Washington, Box 359775, 325 Ninth Avenue, Seattle, WA 98104, USA",,,10.1155/2014/257094,http://orcid.org/0000-0001-8178-8597,,,,,
CrossRef,UNESP,,,10.1590/s0102-09352012000500013,,,,,,
CrossRef,"FireSERT, School of Built Environment and Built Environment Research Institute; University of Ulster; Newtownabbey; BT37 0QB; UK",,,10.1002/fam.1114,,,,,,
CrossRef,School of Engineering and Materials Science; Queen Mary University of London; UK,,,10.1002/term.2126,,,,,,
CrossRef,"Universidade Federal de Uberlândia,  Brazil",,,10.1590/0103-8478cr20160697,,,,,,
CrossRef,Toyohashi Univ. of Technology (Japan),,,10.1117/12.2270460,,,,,,
CrossRef,NOAA Pacific Marine Environmental Laboratory; Seattle Washington USA,,,10.1002/2014gc005344,,,,,,
CrossRef,"Jiangsu Collaborative Innovation Center for Solid Organic Waste Utilization; College of Resources and Environmental Sciences; Nanjing Agricultural University; Tong Wei Road, No. 6 Nanjing Jiangsu Province 210095 China",,,10.1111/ppa.12354,,,,,,
CrossRef,"Beihang University, Beijing, China",,,10.1145/2983323.2983766,,,,,,
CrossRef,"From the Section of Neonatology, Department of Pediatrics, King Faisal Specialist Hospital and Research Centre, Riyadh",,,10.5144/0256-4947.1996.633,,,,,,
CrossRef,"Universidade de São Paulo,  Brazil",,,10.1590/s1516-44462009000100009,,,,,,
CrossRef,Los Alamos National Laboratory,,,10.2172/1088921,,,,,,
CrossRef,Queen's University; Canada,,,10.1002/9781118541555.wbiepc018,,,,,,
CrossRef,"Department of Medicine - MBC 46, King Faisai Specialist Hospital & Research Centre, P.O. Box 3354, Riyadh 11211",,,10.5144/0256-4947.2004.396a,,,,,,
CrossRef,"Faculty of Engineering, Kharazmi University, Tehran, Iran (corresponding author: )",,,10.1680/jgrim.15.00038,,,,,,
CrossRef,Stephen F. Austin State University; USA,,,10.1002/9781118955567.wbieoc050,,,,,,
CrossRef,Department of Psychiatry; Washington University School of Medicine; St. Louis MO USA,,,10.1002/brb3.651,http://orcid.org/0000-0002-5835-8625,,,,,
CrossRef,University of Groningen,,,10.4204/eptcs.158.5,,,,,,
CrossRef,"Department of Internal Medicine, Chonnam National University Medical School, Gwangju, Korea.",,,10.3350/kjhep.2009.15.2.148,,,,,,
CrossRef,University of Virginia,,,10.18130/v30c84,,,,,,
CrossRef,"Key Laboratory for Cell and Gene Engineering of Zhejiang Province, Institute of Genetics, College of Life Sciences; Zhejiang University; Hangzhou 310058 Zhejiang China",,,10.1002/jsfa.7695,,,,,,
CrossRef,"The Ministry of Education (MOE) Key Laboratory for Standardization of Chinese Medicines, The State Administration of TCM (SATCM) Key Laboratory for New Resources and Quality Evaluation of Chinese Medicines, Shanghai Key Laboratory of Complex Prescription, Institute of Chinese Materia Medica, Shanghai University of Traditional Chinese Medicine, Shanghai, China",,,10.1055/s-0035-1557820,,,,,,
CrossRef,"Cancer Care Ontario, Toronto, ON, Canada",,,10.1200/jco.2016.34.7_suppl.277,,,,,,
CrossRef,University of Calgary,,,10.1558/rsth.v21i2.82,,,,,,
CrossRef,"Department of Mathematics, Savitribai Phule Pune University, Pune 411 007, India",,,10.1155/2015/183930,http://orcid.org/0000-0001-8757-6827,,,,,
CrossRef,"Columbia University of New York, New York, NY",,,10.1200/jco.2013.31.4_suppl.253,,,,,,
CrossRef,"Full-time Lecturer, College of Nursing, Sungshin Women's University, Korea.",,,10.4069/kjwhn.2011.17.3.195,,,,,,
CrossRef,"Optometry Clinic, Louis Stokes Cleveland Veterans Affairs Medical Centre; Cleveland Ohio USA",,,10.1111/cxo.12537,,,,,,
CrossRef,"Department of Pediatrics, Ajou University School of Medicine, Suwon, Korea.",,,10.4168/aard.2014.2.4.229,,,,,,
CrossRef,State Key Laboratory of Silicon Materials and Department of Materials Science and Engineering; Zhejiang University; Hangzhou 310027 China,,,10.1002/ppsc.201470025,,,,,,
CrossRef,"The Edward Grey Institute, Department of Zoology, South Parks Road, Oxford, OX1 3PS, United Kingdom",,,10.7589/0090-3558-47.4.849,,,,,,
CrossRef,"Sandia National Lab. (SNL-CA), Livermore, CA (United States)",,,10.2172/1113862,,,,,,
CrossRef,The University of Edinburgh,,,10.1111/phc3.12316,,,,,,
CrossRef,"College of Electrical and Information Engineering, Nanjing University of Information Science & Technology, Nanjing 210044, China",,,10.1155/2013/420648,http://orcid.org/0000-0002-5066-4716,,,,,
CrossRef,"Department of Chemistry, Gachsaran Branch, Islamic Azad University, Gachsaran, Iran",,,10.1155/2011/287352,,,,,,
CrossRef,"Department of Internal Medicine, Chungnam National University School of Medicine, Daejeon, Korea",,,10.5009/gnl16049,,,,,,
CrossRef,"Dept. of Chemical Engineering, Center for Environmental Research and Sustainable Technology (UFT); University of Bremen; 28359 Bremen Germany",,,10.1002/aic.14711,,,,,,
CrossRef,New York University; New York NY USA,,,10.1002/9781118445112.stat03718,,,,,,
CrossRef,Cooperative Institute for Research in Environmental Sciences; University of Colorado Boulder; Boulder Colorado USA,,,10.1002/2014gl062444,,,,,,
CrossRef,The Wellcome Trust Centre for Cell-Matrix Research and Manchester Breast Centre; Faculty of Life Sciences; University of Manchester; Manchester United Kingdom,,,10.1002/jcp.25390,,,,,,
CrossRef,Pediatric Hematology and Oncology; University Children's Hospital Muenster; Muenster Germany,,,10.1111/ejh.12314,,,,,,
CrossRef,"Account planning head at nova/sb, an ad agency with large expertise in effective public service advertising.",,,10.1111/1559-8918.2015.01069,,,,,,
CrossRef,Universidade Estadual de Campinas,,,10.1590/s0102-44501999000100008,,,,,,
CrossRef,"College of Communication Engineering, PLA University of Science and Technology, Nanjing, China",,,10.2495/smta141102,,,,,,
CrossRef,Center for Liver Cancer; National Cancer Center; Goyang Korea,,,10.1111/liv.12519,,,,,,
CrossRef,"University of Maryland, College Park, MD",,,10.1145/2818378,,,,,,
CrossRef,Rural Sociology,,,10.18174/391066,,,,,,
CrossRef,"Oncology Medical Eugene Marquis Comprehensive Cancer Center, Rennes, France;",,,10.1200/jco.2017.35.4_suppl.225,,,,,,
CrossRef,Corresponding author. Phone: (204)983-2385. Fax: (204)983-4606. Email: crampitsch@agr.gc.ca,,,10.1094/cc-83-0510,,,,,,
CrossRef,University of Sussex (UK),,,10.1111/1469-8676.12137,,,,,,
CrossRef,"Department of Dermatology and Venereology, Medical University of Lodz, Plac Hallera 1, 90-497 Lodz, Poland",,,10.1155/2014/936545,http://orcid.org/0000-0002-4548-3080,,,,,
CrossRef,"Department of Ophthalmology, University Medical Center, Johannes Gutenberg University Mainz, Mainz, Germany",,,10.1167/iovs.13-13549,,,,,,
CrossRef,"Institute of Atmospheric Pollution Research, National Research Council of Italy; Monterotondo, Rome 00015 Italy",,,10.1002/ep.12530,,,,,,
CrossRef,"Division of Cardiology, Yonsei Cardiovascular Hospital, Yonsei University College of Medicine, Seoul, Korea.",,,10.3904/kjm.2012.82.6.667,,,,,,
CrossRef,"Department of Neurosurgery, Tokyo Dental College Ichikawa General Hospital",,,10.7887/jcns.13.151,,,,,,
CrossRef,Center for Nano Science and Technology @PoliMi; Istituto Italiano di Tecnologia; Via Pascoli 70/3 20133 Milano Italy,,,10.1002/adfm.201302297,,,,,,
CrossRef,Wellesley College,,,10.1075/jnlh.1.1.02cha,,,,,,
CrossRef,"University of British Columbia Centre for Disease Control, Vancouver, British Columbia, Canada;",,,10.3201/eid1108.040449,,,,,,
CrossRef,Bremen,,,10.1055/s-0035-1564218,,,,,,
CrossRef,Universidad Católica Argentina,,,10.1590/s1413-294x2008000300006,,,,,,
CrossRef,"Institute of Physics, University of Tartu, Riia 142, 51014 Tartu, Estonia",,,10.12693/aphyspola.126.242,,,,,,
CrossRef,"Department of Cardiovascular Surgery, General Hospital of Shenyang Military, Shenyang, China",,,10.1155/2016/4967275,http://orcid.org/0000-0003-4897-5299,,,,,
CrossRef,Department of Psychiatry; Ludwig-Maximilians-Universität München; Munich; Germany,,,10.1111/j.1469-8986.2011.01306.x,,,,,,
CrossRef,"Department of Pharmacology and Toxicology, College of Pharmacy, University of Arizona, 1703 E. Mabel Street, Tucson, AZ 85721-0207, USA",,,10.1155/2011/416905,,,,,,
CrossRef,"Department of Administrative Nutrition, Faculty of Health and Nutrition, Tokyo Seiei College",,,10.2740/jisdh.27.40,,,,,,
CrossRef,"Vincent Papa, CFA, is director of financial reporting policy at CFA                     Institute.",,,10.2469/cfm.v25.n3.19,,,,,,
CrossRef,"Research Center for Nutrition and Food Safety, Institute of Military Preventive Medicine, Third Military Medical University, Shapingba District, Chongqing 400038, China",,,10.1155/2014/976438,,,,,,
CrossRef,"Chief executive, National Children's Bureau",,,10.12968/bjsn.2017.12.2.77,,,,,,
CrossRef,Department of Head and Neck Surgery; The University of Texas MD Anderson Cancer Center; Houston Texas,,,10.1002/hed.23327,,,,,,
CrossRef,"Span : Space Planners, Urbanists and Architects",,,10.3130/aija.65.147_4,,,,,,
CrossRef,Trinity College Dublin,,,10.1111/jcms.12106_3,,,,,,
CrossRef,"Institute of Physics, Częstochowa University of Technology, al. Armii Krajowej 19, 42-200 Częstochowa, Poland",,,10.12693/aphyspola.116.1053,,,,,,
CrossRef,"Universiti Teknologi Malaysia, Malaysia",,,10.4018/978-1-4666-1809-1.ch011,,,,,,
CrossRef,Department of Public Health and General Practice; Norwegian University of Science and Technology; Trondheim Norway,,,10.1111/joim.12494,,,,,,
CrossRef,"NamesforLife, LLC",,,10.1601/ex.19665,http://orcid.org/0000-0002-7436-3176,,,,,
CrossRef,"Ariel University, Israel",,,10.4018/978-1-5225-0516-7.ch001,,,,,,
CrossRef,University College London; Institute for Fiscal Studies; National Bureau of Economic Research,,,10.1111/ecoj.12020,,,,,,
CrossRef,"School of Liquor & Food Engineering, Guizhou University, Guiyang 550025, China",,,10.1155/2015/216983,,,,,,
CrossRef,"Universidade de São Paulo,  Brasil; Universidade de São Paulo,  Brasil",,,10.1590/s0102-33062010000100030,,,,,,
CrossRef,"University of South Australia, Australia",,,10.4018/978-1-59904-857-4.ch032,,,,,,
CrossRef,"The Frost Entomological Museum, Department of Entomology, The Pennsylvania State University, University Park, Pennsylvania 16802, USA",,,10.7589/0090-3558-13.4.427,,,,,,
CrossRef,"School of Materials Science and Engineering, Shanghai Jiao Tong University",,,10.2320/matertrans.mra2007157,,,,,,
CrossRef,I-BioStat; Universiteit Hasselt; B-3590 Diepenbeek; Belgium,,,10.1002/pst.1533,,,,,,
CrossRef,"Department of Diagnostic Radiology, Fukuoka University School of Medicine",,,10.7887/jcns.13.454,,,,,,
CrossRef,"Spinal Cord Injury Center Balgrist; University Hospital Zurich, University of Zurich; Zurich Switzerland",,,10.1002/ana.24508,,,,,,
CrossRef,Beijing National Laboratory for Molecular Sciences (BNLMS); Key Laboratory of Green Printing; Institute of Chemistry; Chinese Academy of Sciences; Beijing 100190 P. R. China,,,10.1002/adma.201602869,,,,,,
CrossRef,"Massachusetts Institute of Technology, Cambridge, MA, USA",,,10.1145/2933057.2933109,,,,,,
CrossRef,"Albert-Ludwig University, Germany",,,10.4018/978-1-61520-967-5.ch041,,,,,,
CrossRef,School of Journalism & Communication; University of Queensland,,,10.1002/tl.20097,,,,,,
CrossRef,"Centre for Lipid Research, Indian Institute of Chemical Technology",,,10.5650/jos.ess15255,,,,,,
CrossRef,These authors contributed equally to this study.,,,10.3201/eid1606.100089,,,,,,
CrossRef,"School of Public Health, University at Albany, State University of New York; USA",,,10.1002/erv.2417,,,,,,
CrossRef,"Department of Physics, University of Wisconsin, Madison, Wisconsin 53706; email:",,,10.1146/annurev-nucl-102010-130237,,,,,,
CrossRef,"VALE S/A,  Brazil",,,10.1590/2238-1031.jtl.v10n1a6,,,,,,
CrossRef,"Institute of Industrial Science,The University of Tokyo",,,10.2355/tetsutohagane1955.79.3_280,,,,,,
CrossRef,"Department of Chemical Engineering, University of Santiago de Compostela, Spain",,,10.2495/mc110171,,,,,,
CrossRef,"Department of Orthopaedic Surgery, Seoul National University Bundang Hospital, Seoul National University College of Medicine, Seongnam, Korea.",,,10.3803/enm.2013.28.2.90,,,,,,
CrossRef,Vilnius Gediminas Technical University,,,10.3846/baltgraf.2015.015,,,,,,
CrossRef,"Department of Musicology, University of Oslo, Oslo, Norway",,,10.3402/qhw.v8i0.20597,,,,,,
CrossRef,Department of General Surgery; Emergency Surgery Unit,,,10.1111/ans.12660,,,,,,
CrossRef,Instituto Agronômico,,,10.1590/s0006-87051993000100002,,,,,,
CrossRef,"Sciences and Exploration Directorate, NASA/GSFC, Greenbelt, Maryland 20771, United States",,,10.1117/1.jrs.8.083514,,,,,,
CrossRef,Department of Metallurgy and Materials Engineering; Instituto Politécnico Nacional-ESIQIE,,,10.1002/srin.200200012,,,,,,
CrossRef,"Institute of Chemistry, Pedagogical University, Oleska 48, 45-052 Opole, Poland",,,10.12693/aphyspola.85.797,,,,,,
CrossRef,"Department of Paediatrics, Centre for Metabolic Disease, University of Leuven, Leuven, Belgium; e-mail:",,,10.1146/annurev.genom.2.1.129,,,,,,
CrossRef,"NamesforLife, LLC",,,10.1601/tx.29428,http://orcid.org/0000-0002-7436-3176,,,,,
CrossRef,"Department of Organ Transplantation and General Surgery; Kyoto Prefectural University of Medicine; Kajii-cho 465, Kamigyo-ku Kyoto-prefecture 602-8566 Japan",,,10.1111/nep.12451,,,,,,
CrossRef,Hebrew University and Beit Berl College,,,10.1075/jnlh.6.3.03dev,,,,,,
CrossRef,"Institute for Neurobiol., Okayama University Medical School",,,10.4044/joma1947.95.7-8_623,,,,,,
CrossRef,The Univ. of Tokyo (Japan),,,10.1117/12.2232166,,,,,,
CrossRef,"Department of Materials Processing, Engineering, Tohoku University",,,10.2320/matertrans1989.31.504,,,,,,
CrossRef,"Universidade Estadual do Ceará,  Brazil",,,10.1590/s0100-736x2016000700017,,,,,,
CrossRef,"Department of Orthodontics, Yonsei University College of Dentistry, Seoul, Korea.",,,10.5395/jkacd.2010.35.6.473,,,,,,
CrossRef,"Barking, Havering and Redbridge University Hospital NHS Trust; London UK",,,10.1111/anae.13559,,,,,,
CrossRef,"Kokugakuin University, Higasi, Sibuya-ku, Tokyo 150",,,10.1143/jpsj.59.1676,,,,,,
CrossRef,"Samara State Aerospace University, Samara, Russia",,,10.1115/gt2016-57854,,,,,,
CrossRef,Department of Geosciences; University of Wisconsin-Milwaukee; Lapham Hall 3209 North Maryland Avenue 53211 Milwaukee WI USA,,,10.1111/j.1751-908x.2016.00376.x,,,,,,
CrossRef,Department of Geosciences; Florida Atlantic University; Davie Florida USA,,,10.1002/2015jg003246,,,,,,
CrossRef,EMLYON Business School; Ecully-Lyon France,,,10.1002/9781118785317.weom060007,,,,,,
CrossRef,University of Puerto Rico (VCL),,,10.1590/1677-553820133806728,,,,,,
CrossRef,University of Georgia; Athens GA USA,,,10.1002/9781118445112.stat07875,,,,,,
CrossRef,St Paul's Hospital; Vancouver Canada,,,10.1002/ccd.25823,,,,,,
CrossRef,Instituto de Investigaciones Químicas; Departamento de Química Inorgánica; Centro de Innovación en Química Avanzada (ORFEO-CINQA); Consejo Superior de Investigaciones Científicas (CSIC); Universidad de Sevilla; Avenida Américo Vespucio 49 41092 Sevilla Spain,,,10.1002/ejic.201501253,http://orcid.org/0000-0002-7337-3567,,,,,
CrossRef,Departments of Neurosurgery and,,,10.3171/jns-07/08/0308,,,,,,
CrossRef,Department of Chemistry; Kurume University School of Medicine; Kurume 830-0011 Japan,,,10.1002/psc.2630,,,,,,
CrossRef,"Top Runner Incubation Center for Academia-Industry Fusion, Nagaoka University of Technology",,,10.1299/jmmp.5.589,,,,,,
CrossRef,Research School of Earth Sciences; Australian National University; Canberra ACT Australia,,,10.1002/2016gl069483,,,,,,
CrossRef,Department of Obstetrics and Gynaecology; University of Ibadan; Ibadan Nigeria,,,10.1002/j.1879-3479.1976.tb00597.x,,,,,,
CrossRef,China Academy of Aerospace Aerodynamics,,,10.2514/6.2017-2338,,,,,,
CrossRef,"Department of Parasitology, Kaohsiung Medical University",,,10.7601/mez.55.25,,,,,,
CrossRef,"Department of Mechanics and Vibration, University Politehnica Timişoara, 300222 Timişoara, Romania",,,10.1155/2014/139314,,,,,,
CrossRef,"Wright State University, Biomedical, Industrial and Human Factors Engineering, 3640 Colonel Glenn Highway, Dayton, Ohio 45435, United States",,,10.1117/1.nph.3.2.025006,,,,,,
CrossRef,Centro de Investigación Príncipe Felipe (CIPF); Valencia Spain,,,10.1111/cge.13057,,,,,,
CrossRef,University of California Santa Barbara Materials Department; Santa Barbara CA 93106-5050,,,10.1002/9781119075646.ch15,,,,,,
CrossRef,"Federal University of Campina Grande, Campina Grande, PB - Brazil",,,10.1145/2851613.2851723,,,,,,
CrossRef,"Bureau of Epidemiology, Texas Department of Health, Austin, Texas",,,10.4269/ajtmh.1985.34.58,,,,,,
CrossRef,Centro Hospitalar Tâmega E Sousa; Penafiel; Portugal,,,10.1111/jog.12077,,,,,,
CrossRef,"University of Florida, Gainesville, Florida, USA;",,,10.3201/eid0909.030047,,,,,,
CrossRef,The Liver Unit; Birmingham Children's Hospital NHS Foundation Trust; Birmingham UK,,,10.1002/9781119046936.ch23,,,,,,
CrossRef,"SRH Wald-Klinikum Gera gGmbH, Klinik für Gastroenterologie, Hepatologie & Allgemeine Innere Medizin, Gera, Deutschland",,,10.1055/s-0031-1283913,,,,,,
CrossRef,"Department of Apparel, Events, and Hospitality Management, Iowa State University, Ames, IA, USA",,,10.1080/17543266.2016.1225824,,,,,,
CrossRef,School of Space Research; Kyung Hee University; Gyeonggi Korea,,,10.1002/2016ja023391,http://orcid.org/0000-0001-8872-6065,,,,,
CrossRef,"Instituto de Telecomunicações-Aveiro, Campus Universitário de Santiago, 3810-193 Aveiro, Portugal",,,10.1155/2012/953269,,,,,,
CrossRef,"Department of Mathematics, Faculty of Science and Letters, Maltepe University, 34857 Maltepe, Istanbul, Turkey",,,10.1155/2008/485706,http://orcid.org/0000-0001-7344-5826,,,,,
CrossRef,School of Environmental and Life Sciences; The University of Newcastle; PO Box 127 Ourimbah NSW 2258 Australia,,,10.1111/ijfs.13168,,,,,,
CrossRef,"Department of Neurology, The Downstate Medical Center, State University of New York, 450 Clarkson Avenue, Brooklyn, NY 11203, USA",,,10.1155/2013/913942,,,,,,
CrossRef,Key Laboratory of Photo-Electronic Materials; Ningbo University; Ningbo Zhejiang 315211 China,,,10.1002/qua.24680,,,,,,
CrossRef,Faculdade de Ciências Agronômicas,,,10.1590/s0100-204x2000000600004,,,,,,
CrossRef,"Department of Medicine, University of Minnesota, Minneapolis",,,10.1001/jamainternmed.2014.4004,,,,,,
CrossRef,"Graduate School of Medical Sciences, Kitasato University",,,10.11560/jahp.27.special_issue_209,,,,,,
CrossRef,Department of Otolaryngology; Taichung Veterans General Hospital; Taichung Taiwan,,,10.1002/alr.21575,,,,,,
CrossRef,ALASRU,,,10.1590/s1517-45222003000200003,,,,,,
CrossRef,University of São Paulo,,,10.5748/9788599693094-10contecsi/ps-455,,,,,,
CrossRef,Obstetrics and Gynecology; Academic Medical Centre; Amsterdam The Netherlands,,,10.1002/uog.13432,,,,,,
CrossRef,Division of Counseling and Psychology; University of South Dakota,,,10.1002/jcad.12090,,,,,,
CrossRef,Tima Moldogaziev is in the Department of Public Administration and Policy at the University of Georgia; Athens GA USA,,,10.1111/padm.12139,,,,,,
CrossRef,"College of Transport & Communications, Shanghai Maritime University, Shanghai 201306, China",,,10.1155/2016/1840673,http://orcid.org/0000-0001-7688-8200,,,,,
CrossRef,College of Life and Environmental Sciences; University of Exeter; Penryn Campus TR10 9FE United Kingdom,,,10.1111/evo.12652,,,,,,
